Date,Open,High,Low,Close,Volume,Daily_Return,Log_Return,MA_5,MA_20,Volatility_20,Volatility_20_Annualized,High_Volatility
2022-02-01,17524.95,17809.8,16230.1,16794.25,249410000.0,,,,,,,False
2022-03-01,16595.0,17555.8,15676.35,17464.75,256709999.99999997,0.03992437887967615,0.03914799789389489,,,,,False
2022-04-01,17453.0,18173.8,16843.3,17135.25,207330000.0,-0.018866574099257072,-0.019046818572807576,,,,,False
2022-05-01,16925.0,17137.75,15733.0,16577.6,269360000.0,-0.032544024744313726,-0.0330853587252147,,,,,False
2022-06-01,16550.0,16790.0,15202.3,15780.25,265160000.00000003,-0.048098035903870184,-0.049293228384081685,16750.420000000002,,,,False
2022-07-01,15704.0,17222.95,15513.9,17201.85,217850000.0,0.09008729266012883,0.08625777804371168,16831.94,,,,False
2022-08-01,17262.2,18004.7,17178.0,17827.5,190390000.0,0.036371087993442686,0.03572527274534145,16904.489999999998,,,,False
2022-09-01,17552.0,18123.35,16764.25,17103.2,229680000.0,-0.040628242883186005,-0.04147662841626036,16898.079999999998,,,,False
2022-10-01,17021.0,18061.75,16858.0,18051.05,181700000.0,0.05541945366948875,0.05393827432807075,17192.769999999997,,,,False
2022-11-01,18161.1,18905.05,18008.0,18874.5,145380000.0,0.04561784494530796,0.04460794988586338,17811.620000000003,,,,False
2022-12-01,18957.7,18998.85,17831.2,18206.85,180520000.0,-0.03537312246682034,-0.0360139078196583,18012.620000000003,,,,False
2023-01-01,18209.0,18333.9,17522.25,17798.65,186940000.0,-0.02242013308177948,-0.02267528517312927,18006.85,,,,False
2023-02-01,17925.0,18150.0,17345.0,17403.4,167890000.0,-0.02220674039885051,-0.022457022294416235,18066.890000000003,,,,False
2023-03-01,17433.05,17863.9,16866.0,17442.65,198480000.0,0.002255306434374882,0.002252767048164409,17945.21,,,,False
2023-04-01,17470.0,18128.5,17383.85,18111.15,112760000.0,0.03832559846124295,0.037609414228545676,17792.54,,,,False
2023-05-01,18180.45,18742.4,18084.05,18629.55,130460000.00000001,0.028623251422466245,0.02822125902489685,17877.079999999998,,,,False
2023-06-01,18624.95,19273.15,18550.0,19261.25,112260000.0,0.0339084948375028,0.03334627588152778,18169.6,,,,False
2023-07-01,19321.0,19981.55,19302.55,19843.95,118640000.0,0.030252449866960962,0.029803869168406428,18657.710000000003,,,,False
2023-08-01,19972.15,19987.3,19331.0,19414.25,26150000.0,-0.02165395498376088,-0.021891842270172136,19052.03,,,,False
